,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,wingsail,wingsail,wingsail,wingsail,wingsail,wingsail,wingsail,wingsail,carbody,carbody,carbody,carbody,carbody,carbody,carbody,carbody,carbody:Marker1,carbody:Marker1,carbody:Marker1,carbody:Marker2,carbody:Marker2,carbody:Marker2,carbody:Marker3,carbody:Marker3,carbody:Marker3,carbody:Marker4,carbody:Marker4,carbody:Marker4,carbody:Marker5,carbody:Marker5,carbody:Marker5,carbody:Marker6,carbody:Marker6,carbody:Marker6,wingsail:Marker1,wingsail:Marker1,wingsail:Marker1,wingsail:Marker2,wingsail:Marker2,wingsail:Marker2,wingsail:Marker3,wingsail:Marker3,wingsail:Marker3,wingsail:Marker4,wingsail:Marker4,wingsail:Marker4,wingsail:Marker5,wingsail:Marker5,wingsail:Marker5,wingsail:Marker6,wingsail:Marker6,wingsail:Marker6
,ID,"1F4A1780541C11EB96FB0B59A1A89C88","1F4A1780541C11EB96FB0B59A1A89C88","1F4A1780541C11EB96FB0B59A1A89C88","1F4A1780541C11EB96FB0B59A1A89C88","1F4A1780541C11EB96FB0B59A1A89C88","1F4A1780541C11EB96FB0B59A1A89C88","1F4A1780541C11EB96FB0B59A1A89C88","1F4A1780541C11EB96FB0B59A1A89C88","34C59488B1611EB96FB0B59A1A8AC88","34C59488B1611EB96FB0B59A1A8AC88","34C59488B1611EB96FB0B59A1A8AC88","34C59488B1611EB96FB0B59A1A8AC88","34C59488B1611EB96FB0B59A1A8AC88","34C59488B1611EB96FB0B59A1A8AC88","34C59488B1611EB96FB0B59A1A8AC88","34C59488B1611EB96FB0B59A1A8AC88","4968DB848EDB11EB96FB0B59A1A8AC88","4968DB848EDB11EB96FB0B59A1A8AC88","4968DB848EDB11EB96FB0B59A1A8AC88","4968DB858EDB11EB96FB0B59A1A8AC88","4968DB858EDB11EB96FB0B59A1A8AC88","4968DB858EDB11EB96FB0B59A1A8AC88","FCC08A0","FCC08A0","FCC08A0","4968DB308EDB11EB96FB0B59A1A8AC88","4968DB308EDB11EB96FB0B59A1A8AC88","4968DB308EDB11EB96FB0B59A1A8AC88","FCBE3A0","FCBE3A0","FCBE3A0","FCBE6C0","FCBE6C0","FCBE6C0","FCC0A60","FCC0A60","FCC0A60","FCBE870","FCBE870","FCBE870","FCBD820","FCBD820","FCBD820","FCC09D0","FCC09D0","FCC09D0","4F6146118EDB11EB96FB0B59A1A8AC88","4F6146118EDB11EB96FB0B59A1A8AC88","4F6146118EDB11EB96FB0B59A1A8AC88","FCC0790","FCC0790","FCC0790"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
16,0.133333,-0.184407,0.902889,-0.088501,-0.378091,-2.191452,0.379754,6.155423,0.001084,-0.013466,0.904235,-0.000193,-0.426823,-2.126583,0.095226,6.192875,0.001550,,,,,,,-2.308884,0.074642,6.155344,-2.359167,0.075491,6.214104,-1.765560,0.181228,6.475077,-1.969592,0.081587,6.323534,-2.353450,0.106508,6.119928,-2.053150,0.117829,6.181780,-2.107924,0.918624,6.177492,-2.373098,0.905974,6.120805,,,,-2.136748,0.114214,6.192944
17,0.141667,-0.184450,0.902772,-0.088433,-0.378365,-2.190856,0.379800,6.155951,0.001078,-0.017163,0.904549,0.001477,-0.426022,-2.125275,0.096097,6.194090,0.001416,,,,,,,-2.308186,0.074669,6.155838,-2.358427,0.075281,6.214708,-1.763716,0.183011,6.478626,-1.968920,0.081587,6.324080,-2.352809,0.106645,6.120638,-2.052621,0.117792,6.182234,-2.107351,0.918653,6.178006,-2.372517,0.906029,6.121428,,,,-2.136130,0.114240,6.193384
18,0.150000,-0.184243,0.902633,-0.089153,-0.378629,-2.190140,0.380364,6.157378,0.001055,-0.012979,0.904337,-0.000205,-0.426621,-2.125244,0.094952,6.193782,0.001476,,,,,,,-2.305430,0.075840,6.156657,-2.357788,0.075047,6.214918,-1.764236,0.181233,6.476182,-1.970225,0.080657,6.324242,-2.352254,0.106688,6.121257,-2.051934,0.117818,6.182674,-2.106689,0.918661,6.178450,-2.371906,0.906035,6.122086,,,,-2.134925,0.117405,6.198270
19,0.158333,-0.183901,0.902486,-0.088782,-0.379231,-2.189962,0.380212,6.157871,0.000943,-0.018452,0.904428,0.003170,-0.426216,-2.124316,0.095765,6.194757,0.001545,,,,,,,-2.306908,0.074739,6.156743,,,,-1.762383,0.183009,6.479778,-1.969493,0.080519,6.324758,-2.351645,0.106709,6.121881,-2.053258,0.116832,6.182752,-2.106021,0.918664,6.178897,-2.371292,0.905990,6.122705,,,,-2.134202,0.117765,6.199368
20,0.166667,-0.184355,0.902303,-0.089272,-0.379332,-2.188746,0.380419,6.158558,0.001150,-0.018892,0.904331,0.003493,-0.426400,-2.123695,0.095838,6.195215,0.001492,,,,,,,-2.306299,0.074772,6.157264,,,,-1.761733,0.182986,6.480135,-1.968774,0.080518,6.325135,-2.350895,0.106763,6.122806,-2.050318,0.117929,6.183658,-2.105438,0.918656,6.179311,-2.370715,0.905969,6.123273,,,,-2.133425,0.117579,6.199609
21,0.175000,-0.184667,0.902189,-0.088234,-0.379696,-2.188212,0.379827,6.158113,0.001099,-0.017525,0.904430,0.002963,-0.426252,-2.122490,0.096609,6.196427,0.001616,,,,,,,-2.303475,0.076249,6.158938,-2.355604,0.075301,6.217052,-1.760749,0.183214,6.480969,-1.968007,0.080380,6.325516,-2.350204,0.106649,6.123387,-2.049767,0.117933,6.184119,-2.104798,0.918619,6.179813,-2.370064,0.906001,6.124170,,,,-2.133345,0.114372,6.195207
22,0.183333,-0.184728,0.902164,-0.088168,-0.379739,-2.187531,0.379859,6.158738,0.001007,-0.013802,0.904317,0.000228,-0.426639,-2.122329,0.095288,6.196540,0.001265,,,,,,,-2.304703,0.074700,6.158729,-2.354885,0.075387,6.217621,-1.759924,0.183057,6.481124,-1.967247,0.080394,6.325974,-2.349586,0.106624,6.123775,-2.048970,0.117821,6.184582,-2.104106,0.918670,6.180432,-2.369494,0.906056,6.124934,,,,-2.132547,0.114626,6.196196
23,0.191667,-0.183742,0.902057,-0.087214,-0.380692,-2.186998,0.379851,6.159233,0.000903,-0.012448,0.904060,-0.000749,-0.427224,-2.121909,0.094842,6.196560,0.000564,,,,,,,-2.303941,0.074742,6.159368,-2.354097,0.075483,6.218222,-1.760258,0.181630,6.478782,-1.966445,0.080457,6.326429,-2.348926,0.106725,6.124451,-2.050333,0.116865,6.184709,-2.103337,0.918729,6.181077,-2.366722,0.906938,6.126041,,,,-2.131874,0.114693,6.196681
24,0.200000,-0.184157,0.901819,-0.087618,-0.380961,-2.185650,0.380243,6.160052,0.001238,-0.011719,0.903991,-0.001178,-0.427389,-2.121197,0.094764,6.197078,0.000600,,,,,,,-2.303287,0.074791,6.159903,-2.353424,0.075565,6.218820,-1.759413,0.181429,6.478852,-1.965641,0.080666,6.327197,-2.348084,0.106987,6.125402,-2.047362,0.118074,6.185587,-2.102633,0.918798,6.181717,-2.365882,0.907021,6.126729,,,,-2.131065,0.114777,6.197220
25,0.208333,-0.184198,0.901832,-0.087599,-0.380916,-2.184943,0.380220,6.160537,0.001174,-0.013219,0.904214,-0.000184,-0.426875,-2.120041,0.095374,6.198190,0.001307,,,,,,,-2.302501,0.074860,6.160471,-2.352670,0.075609,6.219344,-1.757279,0.183216,6.482464,-1.964878,0.080723,6.327779,-2.347308,0.106852,6.125812,-2.046732,0.118065,6.186044,-2.101941,0.918815,6.182249,-2.365182,0.906965,6.127242,,,,-2.130308,0.114871,6.197738
