  alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  13.500   0.5567   0.16137   0.15290  -0.0175   0.2867   1.0000
  13.750   0.5715   0.16516   0.15672  -0.0178   0.2781   1.0000
  14.000   0.5793   0.16937   0.16092  -0.0187   0.2733   1.0000
  14.250   0.5767   0.17089   0.16243  -0.0200   0.2641   1.0000
  14.750   0.5904   0.17778   0.16932  -0.0222   0.2533   1.0000
  15.000   0.6007   0.18092   0.17248  -0.0228   0.2449   1.0000
  15.250   0.6245   0.18793   0.17952  -0.0230   0.2405   1.0000
  15.500   0.6100   0.18699   0.17852  -0.0257   0.2343   1.0000
  15.750   0.6230   0.19068   0.18224  -0.0263   0.2277   1.0000
  16.000   0.6442   0.19760   0.18919  -0.0265   0.2238   1.0000
  16.250   0.6321   0.19644   0.18798  -0.0295   0.2176   1.0000
  16.500   0.6454   0.20016   0.19173  -0.0302   0.2112   1.0000
  16.750   0.6730   0.20916   0.20078  -0.0299   0.2078   1.0000
  17.000   0.6564   0.20624   0.19779  -0.0337   0.2037   1.0000
  17.250   0.6646   0.20897   0.20053  -0.0350   0.1971   1.0000
  17.500   0.6935   0.21788   0.20953  -0.0341   0.1923   1.0000
  17.750   0.6839   0.21660   0.20818  -0.0376   0.1899   1.0000
  18.000   0.6866   0.21807   0.20963  -0.0400   0.1843   1.0000
  18.250   0.6991   0.22183   0.21342  -0.0409   0.1795   1.0000
  18.500   0.7260   0.23205   0.22369  -0.0402   0.1763   1.0000
  18.750   0.7130   0.22808   0.21965  -0.0446   0.1733   1.0000
  19.000   0.7193   0.23022   0.22179  -0.0466   0.1677   1.0000
  19.250   0.7332   0.23454   0.22616  -0.0473   0.1635   1.0000
  19.500   0.7566   0.24459   0.23625  -0.0470   0.1612   1.0000
  19.750   0.7465   0.24055   0.23215  -0.0515   0.1590   1.0000
  20.000   0.7518   0.24226   0.23386  -0.0540   0.1541   1.0000
  20.250   0.7634   0.24587   0.23750  -0.0551   0.1498   1.0000
  20.500   0.7894   0.25744   0.24915  -0.0539   0.1469   1.0000
  20.750   0.7816   0.25339   0.24503  -0.0585   0.1455   1.0000
  21.000   0.7851   0.25422   0.24585  -0.0616   0.1417   1.0000
  21.250   0.7940   0.25708   0.24873  -0.0634   0.1380   1.0000
  21.500   0.8068   0.26152   0.25320  -0.0643   0.1349   1.0000
  21.750   0.8252   0.27092   0.26262  -0.0643   0.1330   1.0000
  22.000   0.8204   0.26693   0.25859  -0.0691   0.1310   1.0000
  22.250   0.8265   0.26858   0.26025  -0.0717   0.1271   1.0000
  22.500   0.8359   0.27161   0.26331  -0.0735   0.1239   1.0000
  22.750   0.8484   0.27636   0.26809  -0.0744   0.1215   1.0000
  23.000   0.8651   0.28576   0.27751  -0.0746   0.1201   1.0000
  23.250   0.8623   0.28183   0.27355  -0.0793   0.1188   1.0000
  23.500   0.8677   0.28289   0.27462  -0.0824   0.1157   1.0000
  23.750   0.8762   0.28558   0.27734  -0.0844   0.1124   1.0000
  24.000   0.8871   0.28948   0.28126  -0.0857   0.1099   1.0000
  24.500   0.9042   0.29682   0.28861  -0.0898   0.1074   1.0000
  24.750   0.9086   0.29707   0.28886  -0.0933   0.1052   1.0000
  25.000   0.9162   0.29937   0.29118  -0.0958   0.1027   1.0000
  25.250   0.9249   0.30225   0.29409  -0.0978   0.1003   1.0000
  25.500   0.9354   0.30647   0.29834  -0.0991   0.0982   1.0000
  25.750   0.9495   0.31557   0.30746  -0.0994   0.0970   1.0000
  26.000   0.9500   0.31198   0.30385  -0.1041   0.0959   1.0000
  26.250   0.9559   0.31303   0.30492  -0.1074   0.0937   1.0000
  26.500   0.9636   0.31546   0.30736  -0.1098   0.0915   1.0000
  26.750   0.9720   0.31833   0.31027  -0.1119   0.0895   1.0000
  27.000   0.9816   0.32232   0.31429  -0.1134   0.0879   1.0000
  27.500   0.9967   0.32855   0.32053  -0.1182   0.0862   1.0000
  27.750   1.0020   0.32896   0.32095  -0.1217   0.0846   1.0000
  28.000   1.0091   0.33108   0.32309  -0.1244   0.0824   1.0000
  28.250   1.0170   0.33370   0.32575  -0.1267   0.0804   1.0000
  28.500   1.0255   0.33713   0.32920  -0.1285   0.0789   1.0000
  28.750   1.0360   0.34386   0.33598  -0.1294   0.0778   1.0000
  29.000   1.0413   0.34474   0.33684  -0.1326   0.0773   1.0000
  29.250   1.0464   0.34459   0.33670  -0.1364   0.0764   1.0000
  29.500   1.0528   0.34628   0.33842  -0.1394   0.0748   1.0000
  29.750   1.0599   0.34855   0.34072  -0.1420   0.0731   1.0000
